comp_id,event,name,sex,division,bw,dots,team,s,b,d,total
IPLCN_011,Deadlift Only,桑柯,M,Open,106.7,164.79,,,,,275.0
IPLCN_011,Deadlift Only,孙小涵,F,Open,59.0,156.86,,,,,140.0
IPLCN_011,Deadlift Only,刘正辰,M,J20-23,130.85,138.31,,,,,247.5
IPLCN_011,Deadlift Only,Unknown,F,Open,63.3,117.97,,,,,110.0
IPLCN_011,Deadlift Only,王志刚,M,M50-54,69.0,113.81,,,,,150.0
IPLCN_012,Full Power,陈楚其,M,Open,82.35,459.41,,235.0,152.5,290.0,677.5
IPLCN_012,Full Power,朱梦晴,F,Open,51.7,416.1,,120.0,70.0,150.0,340.0
IPLCN_012,Full Power,廖青峰,M,Open,73.5,407.04,,210.0,140.0,210.0,560.0
IPLCN_012,Full Power,马作润,M,Open,106.9,404.2,,240.0,145.0,290.0,675.0
IPLCN_012,Full Power,李建男,M,Open,98.75,402.29,,242.5,152.5,255.0,650.0
IPLCN_012,Full Power,股超群,M,Open,84.2,401.83,,220.0,150.0,230.0,600.0
IPLCN_012,Full Power,谈宇,M,Open,98.99,390.24,,185.0,120.0,195.0,500.0
IPLCN_012,Full Power,吴凡,M,J15-19,103.7,387.94,,245.0,145.0,250.0,640.0
IPLCN_012,Full Power,陈星宇,M,J15-19,79.45,379.07,,195.0,127.5,225.0,547.5
IPLCN_012,Full Power,曹宁嘉,M,J15-19,73.05,368.55,,185.0,56.0,225.0,466.0
IPLCN_012,Full Power,吴江莲,F,Open,72.1,360.63,,135.0,55.0,172.5,362.5
IPLCN_012,Full Power,栾敏敏,F,Open,66.1,360.55,,142.5,55.0,147.5,345.0
IPLCN_012,Full Power,赵进,M,J15-19,88.3,350.95,,207.5,125.0,205.0,537.5
IPLCN_012,Full Power,陈博源,M,J15-19,78.55,350.3,,197.5,110.0,195.0,502.5
IPLCN_012,Full Power,刘世康,M,Open,72.4,345.04,,175.0,100.0,195.0,470.0
IPLCN_012,Full Power,李旭,M,Open,119.7,344.87,,245.0,110.0,245.0,600.0
IPLCN_012,Full Power,苑婷,F,Open,49.4,338.09,,97.5,50.0,120.0,267.5
IPLCN_012,Full Power,刘锦涛,M,J20-23,77.55,305.61,,175.0,8.0,180.0,363.0
IPLCN_012,Full Power,万绍希,M,J20-23,68.25,298.22,,130.0,100.0,160.0,390.0
IPLCN_012,Full Power,区倩仪,F,J20-23,65.15,271.41,,92.5,57.5,107.5,257.5
IPLCN_012,Full Power,徐学清,M,Open,85.95,264.91,,150.0,85.0,165.0,400.0
IPLCN_012,Full Power,Unknown,F,M45-49,59.4,262.17,,75.0,40.0,120.0,235.0
