comp_id,event,name,sex,division,bw,gpa,weight_class,dots,s,b,d,total
CPA_034,Full Power,金霄燥,F,Unknown,58.9,,63,358.93,130.0,60.0,130.0,320.0
CPA_034,Full Power,廖绮婷,F,Unknown,59.7,,63,358.64,127.5,60.0,135.0,322.5
CPA_034,Full Power,王诗涵,F,Unknown,57.0,,57,358.03,110.0,60.0,142.5,312.5
CPA_034,Full Power,梁子谦,M,Unknown,78.5,,83,348.69,180.0,120.0,200.0,500.0
CPA_034,Full Power,张志伟,M,Unknown,73.75,,74,348.12,182.5,97.5,200.0,480.0
CPA_034,Full Power,黄思南,M,Unknown,82.25,,83,347.76,185.0,110.0,217.5,512.5
CPA_034,Full Power,陈家杰,M,Unknown,91.1,,93,343.84,215.0,100.0,220.0,535.0
CPA_034,Full Power,冯磊,F,Unknown,61.2,,63,342.15,110.0,65.0,137.5,312.5
CPA_034,Full Power,刘卓,F,Unknown,75.45,,76,334.96,130.0,50.0,165.0,345.0
CPA_034,Full Power,洪婵娟,F,Unknown,46.05,,47,329.33,95.0,42.5,110.0,247.5
CPA_034,Full Power,周云,F,Unknown,51.45,,52,322.34,90.0,42.5,130.0,262.5
CPA_034,Full Power,赵肤童,F,Unknown,72.4,,76,320.11,132.5,72.5,117.5,322.5
CPA_034,Full Power,刘文婕,F,Unknown,56.15,,57,306.62,110.0,45.0,110.0,265.0
CPA_034,Full Power,计丞,F,Unknown,55.4,,57,286.02,100.0,45.0,100.0,245.0
CPA_034,Full Power,张吉璐,F,Unknown,50.55,,52,279.75,80.0,42.5,102.5,225.0
CPA_034,Full Power,赖劲,M,Unknown,59.9,,66,173.27,,,205.0,
CPA_034,Full Power,陆偶聪,M,Unknown,102.2,,105,167.7,,,275.0,
CPA_034,Full Power,周枫,M,Unknown,62.8,,66,162.75,,,200.0,
CPA_034,Full Power,苏畅,M,Unknown,80.95,,83,160.93,,,235.0,
CPA_034,Full Power,乐翊,M,Unknown,72.7,,74,146.42,,,200.0,
CPA_034,Full Power,郭紫剑,M,Unknown,92.4,,93,124.46,,195.0,,
CPA_034,Full Power,吕浩,M,Unknown,72.55,,74,120.97,,,165.0,
CPA_034,Full Power,韩冬冬,M,Unknown,79.7,,8,115.76,,167.5,,
CPA_034,Full Power,丁彪,M,Unknown,92.6,,93,106.79,,167.5,,
CPA_034,Full Power,李亮,M,Unknown,119.0,,120,106.54,,185.0,,
CPA_034,Full Power,倪进峰,M,Unknown,88.95,,93,100.82,,155.0,,
CPA_034,Full Power,王洪宇,M,Unknown,80.4,,8,99.69,,145.0,,
CPA_034,Full Power,廖青峰,M,Unknown,73.1,,74,98.48,,135.0,,
CPA_034,Full Power,王少华,M,Unknown,97.0,,105,95.14,,152.5,,
CPA_034,Full Power,刘杰,M,Unknown,103.0,,105,94.22,,155.0,,
CPA_034,Full Power,倪聪,M,Unknown,82.1,,83,88.3,,130.0,,
CPA_034,Full Power,陈晓东,M,Unknown,63.5,,66,84.71,,105.0,,
CPA_034,Full Power,赵阳,F,Unknown,49.9,,52,78.42,,62.5,,
CPA_034,Full Power,夏佳乐,M,Unknown,82.7,,8,77.79,,115.0,,
CPA_034,Full Power,吕浩,M,Unknown,72.55,,74,60.48,,82.5,,
CPA_034,Full Power,邵柯柯,F,Unknown,56.7,,57,51.73,,45.0,,
CPA_033,Full Power,傅容生,Unknown,Unknown,79.2,,83,430.08,230.0,150.0,240.0,620.0
CPA_033,Full Power,王智,Unknown,Unknown,81.1,,83,410.44,215.0,160.0,225.0,600.0
CPA_033,Full Power,方世美,Unknown,Unknown,100.1,,105,409.14,275.0,145.0,245.0,665.0
CPA_033,Full Power,朱亚莉,Unknown,Unknown,49.75,,52,389.82,125.0,65.0,120.0,310.0
CPA_033,Full Power,李洋,Unknown,Unknown,99.0,,105,381.75,210.0,145.0,262.5,617.5
CPA_033,Full Power,张超,Unknown,Unknown,76.45,,83,377.44,192.5,130.0,210.0,532.5
CPA_033,Full Power,方俊,Unknown,Unknown,80.95,,83,362.94,210.0,110.0,210.0,530.0
CPA_033,Full Power,龙慧芬,Unknown,Unknown,54.2,,57,328.77,107.5,52.5,117.5,277.5
CPA_033,Full Power,朱君瑾,Unknown,Unknown,53.4,,57,299.2,97.5,52.5,100.0,250.0
